
time,open,high,low,close,volume,volCcy
1656910800000,19127,19151.8,19114,19137.4,111891,1118.91
1656907200000,19106.1,19147,19083.1,19126.2,161068,1610.68
1656903600000,19075.1,19132.9,19051.1,19106,246308,2463.08
1656900000000,19227.4,19236.9,19060.3,19075,438160,4381.6
1656896400000,19265.1,19273.2,19135.3,19227.3,407235,4072.35
1656892800000,19315.6,19344,19214.6,19267.6,391459,3914.59
1656889200000,19302.6,19339.9,19205.3,19315.7,243911,2439.11
1656885600000,19300.6,19394.9,19228,19302.5,272399,2723.99
1656882000000,19439,19469.1,19263.2,19300.6,343373,3433.73
1656878400000,19492.4,19659.3,19405.8,19439.1,768492,7684.92
1656874800000,19235.6,19577,19222.2,19489.8,655751,6557.51
1656871200000,19221.2,19325.9,19180,19235.6,367011,3670.11
1656867600000,19158,19258.1,19112.8,19220.2,226637,2266.37
1656864000000,19046.4,19232.2,19014.1,19157.9,497512,4975.12
1656860400000,19083,19122,19033,19046.3,266708,2667.08
1656856800000,18981.5,19105,18968.3,19083.5,254837,2548.37
1656853200000,19068.9,19087.6,18970,18981.5,366720,3667.2
1656849600000,19090.1,19130,18984,19068.8,334675,3346.75
1656846000000,19073.9,19149.5,19065.4,19090.1,204696,2046.96
1656842400000,19043.3,19119.3,19028,19073.2,279988,2799.88
1656838800000,19021.4,19088,18953.1,19041.1,359712,3597.12
1656835200000,19137.6,19154.6,18923,19021.5,500576,5005.76
1656831600000,19152.1,19162.8,19089,19137.6,217637,2176.37
1656828000000,19044.2,19189,19031,19152,404666,4046.66
1656824400000,19265.4,19399,19026.4,19044.2,1508455,15084.55
1656820800000,19262.7,19320,18777,19265,1504899,15048.99
1656817200000,19260.6,19306.4,19235.3,19262.7,197775,1977.75
1656813600000,19190,19288.5,19181.7,19260.6,232491,2324.91
1656810000000,19245,19258,19174,19190.1,207250,2072.5
1656806400000,19248.5,19290.6,19160,19245,252872,2528.72
1656802800000,19329.7,19343,19200,19248.5,250645,2506.45
1656799200000,19355.3,19377.8,19310.9,19329.7,142619,1426.19
1656795600000,19260.9,19383.3,19248.8,19353.7,212141,2121.41
1656792000000,19272.1,19289.6,19200,19261,161520,1615.2
1656788400000,19319.3,19422.8,19196.3,19272.2,407859,4078.59
1656784800000,19301,19409.9,19260,19319.2,279549,2795.49
